Trainer,ROI SG,ROI SP,ROI CG,ROI CP,ROI Trio,Win Rate,Bets,Avg Odds
auto_composite,19.230769230769234,-8.84615384615385,-100,-95.76923076923076,-100,38.46153846153847,26,3.45
monte_tabnet,-1.538461538461533,-2.307692307692327,-100,-95.76923076923076,-100,30.76923076923077,26,4.169230769230769
monte,27.068965517241384,-3.275862068965539,-91.89655172413794,-90.6896551724138,-100,36.206896551724135,58,4.146551724137931
attele,11.363636363636363,-14.545454545454541,-80.22727272727272,-81.13636363636364,-100,40.909090909090914,44,4.445454545454545
plat,27.714285714285726,-17.99999999999999,-93.42857142857144,-87.42857142857143,-100,40,35,3.7771428571428576
hyperstack_global_hyperstack,7.587086645078998,9.897458541850666,-74.2606221175547,-77.80885094691395,-98.7488960847807,33.69639878324011,10191,3.989402413894613
haie,28.999999999999986,-24.99999999999999,-100,-100,-100,30,30,5.373333333333334
ltr_haie_ltr,1.6285714285714417,6.3857142857142914,-72.51428571428572,-75.8,-96.5,25.428571428571427,700,6.343642857142857
tabnet_haie_tabnet,2.242857142857149,9.228571428571431,-83,-78.45714285714286,-96.67142857142858,30.857142857142854,700,4.047142857142857
tabnet_steeplechase_tabnet,4.796954314720806,12.779187817258874,-84.44162436548223,-90.30456852791879,-96.7766497461929,37.81725888324873,394,3.571827411167513
ltr_steeplechase_ltr,10.812182741116757,15.596446700507627,-88.04568527918781,-90.53299492385787,-97.41116751269035,35.53299492385787,394,4.084263959390863
tabnet_plat_tabnet,-12.996965098634309,-6.150733434496707,-82.26605968639353,-80.97622660596865,-98.69246332827517,26.35306019221042,3954,4.11896813353566
ltr_plat_ltr,-13.502781992918555,-7.4026302478502854,-84.23874557410218,-81.28730399595348,-98.90237733940313,25.594334850784016,3954,4.564213454729388
tabnet_monte_tabnet,41.97916666666667,37.28009259259261,-60.3125,-69.84953703703704,-99.57175925925925,42.824074074074076,864,4.050578703703703
ltr_monte_ltr,27.91666666666667,31.67824074074072,-69.58333333333334,-72.96296296296296,-99.84953703703704,39.004629629629626,864,4.409722222222222
ltr_attele_ltr,21.817966342735247,22.843090779805642,-66.62242237497038,-75.14813936951884,-99.2178241289405,37.99478549419293,4219,4.093695188433279
tabnet_attele_tabnet,27.466224223749684,23.583787627399857,-64.91348660820098,-74.39677648731927,-99.29130125622187,39.89096942403413,4219,3.829130125622185
tabnet_cross_tabnet,48.16666666666667,27.16666666666666,-96.33333333333333,-88.33333333333333,-100,45,60,4.070000000000001
ltr_cross_ltr,19.166666666666643,31.499999999999982,-96.33333333333333,-86,-100,33.33333333333333,60,5.360000000000001
